Utterance,Sentiment,cleanText,prediction
即便是得了癌症,negative,即便 是 得 了 癌症,"{'label': 'negative', 'score': 0.7471545934677124}"
你也得跟我说,negative,你 也 得 跟 我 说,"{'label': 'negative', 'score': 0.6590175628662109}"
你别咒我行不行,negative,你 别 咒 我 行 不行,"{'label': 'negative', 'score': 0.9576897025108337}"
凭什么我得癌,negative,凭 什么 我 得 癌,"{'label': 'negative', 'score': 0.9587953686714172}"
不是那个,negative,不是 那个,"{'label': 'negative', 'score': 0.7444653511047363}"
我觉得你这几天有点反常,negative,我 觉得 你 这几天 有点 反常,"{'label': 'neutral', 'score': 0.36791881918907166}"
你没觉得你突然对孩子特别好吗,negative,你 没 觉得 你 突然 对 孩子 特别 好 吗,"{'label': 'negative', 'score': 0.7715250849723816}"
什么意思,negative,什么 意思,"{'label': 'negative', 'score': 0.9494588971138}"
我不得病对孩子就不好,negative,我 不得病 对 孩子 就 不 好,"{'label': 'negative', 'score': 0.8710688948631287}"
不是就是你得了病,negative,不是 就是 你 得 了 病,"{'label': 'negative', 'score': 0.8835735321044922}"
现在对孩子也不是很好,negative,现在 对 孩子 也 不是 很 好,"{'label': 'negative', 'score': 0.8381593227386475}"
但是比原来已经好很多了,negative,但是 比 原来 已经 好 很多 了,"{'label': 'neutral', 'score': 0.46281516551971436}"
所以我就特别纳闷,negative,所以 我 就 特别 纳闷,"{'label': 'neutral', 'score': 0.4933905303478241}"
我这么跟你说吧,negative,我 这么 跟 你 说 吧,"{'label': 'neutral', 'score': 0.5004861950874329}"
我有一个大学同学,negative,我 有 一个 大学 同学,"{'label': 'neutral', 'score': 0.7327418923377991}"
他老婆原来对孩子就特别漠不关心,negative,他 老婆 原来 对 孩子 就 特别 漠不关心,"{'label': 'negative', 'score': 0.6061280369758606}"
突然有一天对孩子好的不得了,negative,突然 有一天 对 孩子 好的 不得了,"{'label': 'negative', 'score': 0.8489725589752197}"
孩子想干什么就干什么,negative,孩子 想 干什么 就 干什么,"{'label': 'negative', 'score': 0.8571219444274902}"
后来才知道他是因为得知自己得了癌症还是晚期才变成那样,negative,后来 才 知道 他 是 因为 得知 自己 得 了 癌症 还是 晚期 才 变成 那样,"{'label': 'negative', 'score': 0.8463411927223206}"
所以我就我就觉得你会不会也是因为这原因才对孩子那么溺爱的,negative,所以 我 就 我 就 觉得 你 会 不 会 也 是 因为 这 原因 才 对 孩子 那么 溺爱 的,"{'label': 'negative', 'score': 0.7896761894226074}"
我那是溺爱吗,negative,我 那 是 溺爱 吗,"{'label': 'negative', 'score': 0.9555146098136902}"
我是委曲求全,negative,我 是 委曲求全,"{'label': 'negative', 'score': 0.5528098940849304}"
全面放权,negative,全面 放权,"{'label': 'neutral', 'score': 0.9227600693702698}"
俯首甘为仨孩子,negative,俯首 甘 为 仨 孩子,"{'label': 'negative', 'score': 0.7215701937675476}"
我容易吗我,negative,我 容易 吗 我,"{'label': 'negative', 'score': 0.9470748901367188}"
那你,negative,那 你,"{'label': 'negative', 'score': 0.4773758053779602}"
你何苦来着,negative,你 何苦 来着,"{'label': 'negative', 'score': 0.78549724817276}"
你以为我乐意这么着,negative,你 以为 我 乐意 这么 着,"{'label': 'negative', 'score': 0.660805344581604}"
干脆我就告诉你,negative,干脆 我 就 告诉 你,"{'label': 'negative', 'score': 0.431213915348053}"
离我近点 过来,negative,离 我 近 点 过来,"{'label': 'neutral', 'score': 0.44257551431655884}"
干嘛,negative,干嘛,"{'label': 'negative', 'score': 0.5535532236099243}"
就咱俩你说不就完了吗,negative,就 咱俩 你 说 不 就 完了 吗,"{'label': 'negative', 'score': 0.49860647320747375}"
这虽然不算什么家丑,negative,这 虽然 不 算 什么 家丑,"{'label': 'neutral', 'score': 0.8145412802696228}"
但也算是一级机密,negative,但 也 算是 一级 机密,"{'label': 'neutral', 'score': 0.5410178899765015}"
过来 离我近点,negative,过来 离 我 近 点,"{'label': 'neutral', 'score': 0.4570578634738922}"
行 来 怪不得刘星敢逃学呢,neutral,行 来 怪不得 刘星 敢 逃学 呢,"{'label': 'negative', 'score': 0.5488073229789734}"
你不知道,neutral,你 不 知道,"{'label': 'negative', 'score': 0.6177158951759338}"
刘星他们老师把我叫去了,neutral,刘星 他们 老师 把 我 叫 去 了,"{'label': 'neutral', 'score': 0.7101435661315918}"
说刘星请了两天假不上课,negative,说 刘星 请 了 两 天 假 不 上课,"{'label': 'negative', 'score': 0.6455081105232239}"
他请假的理由知道是什么吗,negative,他 请假 的 理由 知道 是 什么 吗,"{'label': 'negative', 'score': 0.7005528807640076}"
为了要快乐,negative,为了 要 快乐,"{'label': 'negative', 'score': 0.5264898538589478}"
这孩子胆大包天了,negative,这 孩子 胆大包天 了,"{'label': 'negative', 'score': 0.622251570224762}"
他居然敢逃学,negative,他 居然 敢 逃学,"{'label': 'negative', 'score': 0.9616691470146179}"
你要干嘛,negative,你 要 干嘛,"{'label': 'negative', 'score': 0.8231059908866882}"
我得找他去,negative,我 得 找 他 去,"{'label': 'negative', 'score': 0.880611777305603}"
我得让他知道什么叫痛,negative,我 得 让 他 知道 什么 叫痛,"{'label': 'negative', 'score': 0.9200146198272705}"
并快乐着,negative,并 快乐 着,"{'label': 'neutral', 'score': 0.6680866479873657}"
梅梅 好好说,negative,梅梅 好好 说,"{'label': 'negative', 'score': 0.4433552622795105}"
不能动粗,negative,不 能 动粗,"{'label': 'negative', 'score': 0.5365225672721863}"
梅梅,negative,梅梅,"{'label': 'negative', 'score': 0.6619692444801331}"
怎么着啊,positive,怎么着 啊,"{'label': 'neutral', 'score': 0.47525104880332947}"
大老远我就听见你在那大呼小叫,positive,大老远 我 就 听见 你 在 那 大呼小叫,"{'label': 'negative', 'score': 0.8866053819656372}"
气死我了,positive,气死 我 了,"{'label': 'negative', 'score': 0.9512630105018616}"
生气了,positive,生气 了,"{'label': 'negative', 'score': 0.5213633179664612}"
怎么着,positive,怎么着,"{'label': 'neutral', 'score': 0.41239073872566223}"
什么怎么着你还笑你,negative,什么 怎么着 你 还 笑 你,"{'label': 'negative', 'score': 0.5914922952651978}"
本来今天就应该你去,negative,本来 今天 就 应该 你 去,"{'label': 'negative', 'score': 0.8213088512420654}"
我不是跟你说了嘛,neutral,我 不是 跟 你 说 了 嘛,"{'label': 'negative', 'score': 0.8016282916069031}"
我这不着急改稿子去不了,negative,我 这不 着急 改 稿子 去 不 了,"{'label': 'negative', 'score': 0.5879709124565125}"
咱俩谁去不都一样,neutral,咱俩 谁 去 不 都 一样,"{'label': 'negative', 'score': 0.6068165302276611}"
是不是,negative,是 不是,"{'label': 'negative', 'score': 0.5473048090934753}"
老师说什么了,negative,老师 说 什么 了,"{'label': 'negative', 'score': 0.780877947807312}"
太伤自尊了,negative,太 伤 自尊 了,"{'label': 'negative', 'score': 0.8410225510597229}"
给我倒杯水去,negative,给 我 倒 杯水 去,"{'label': 'neutral', 'score': 0.40252363681793213}"
行行,negative,行行,"{'label': 'negative', 'score': 0.621329128742218}"
别急,negative,别 急,"{'label': 'neutral', 'score': 0.4323440492153168}"
都伤上自尊了,negative,都 伤上 自尊 了,"{'label': 'negative', 'score': 0.9246576428413391}"
咱们家刘大少爷又捅什么篓子了,negative,咱们 家 刘大 少爷 又 捅 什么 篓子 了,"{'label': 'negative', 'score': 0.8453865051269531}"
这还有什么奇怪的,negative,这 还有 什么 奇怪 的,"{'label': 'neutral', 'score': 0.4770940840244293}"
我觉得他要是不捅娄子,negative,我 觉得 他 要是 不 捅 娄子,"{'label': 'negative', 'score': 0.6338090300559998}"
这事儿倒应该很奇怪,negative,这 事儿 倒 应该 很 奇怪,"{'label': 'neutral', 'score': 0.936054527759552}"
这次怎么了,negative,这次 怎么 了,"{'label': 'negative', 'score': 0.6762850284576416}"
他是在黑板上给老师又画漫画了,negative,他 是 在 黑板 上 给 老师 又 画 漫画 了,"{'label': 'negative', 'score': 0.9043019413948059}"
还是在同学那座位上粘口香糖了,negative,还是 在 同学 那 座位 上 粘口 香糖 了,"{'label': 'positive', 'score': 0.3722265064716339}"
甭提了,negative,甭 提 了,"{'label': 'negative', 'score': 0.47191402316093445}"
我觉得这次还真不赖咱家刘星,negative,我 觉得 这次 还 真 不赖 咱家 刘星,"{'label': 'positive', 'score': 0.8062548041343689}"
你说,negative,你 说,"{'label': 'negative', 'score': 0.4821658134460449}"
现在这学校怎么这样,negative,现在 这 学校 怎么 这样,"{'label': 'negative', 'score': 0.92253178358078}"
夏东海,negative,夏东海,"{'label': 'negative', 'score': 0.7428796291351318}"
开始学着搞排名座次了,negative,开始 学 着 搞 排名 座次 了,"{'label': 'negative', 'score': 0.4631645381450653}"
他们不是每周有一周的测验吗,negative,他们 不是 每 周 有 一 周 的 测验 吗,"{'label': 'neutral', 'score': 0.6807494163513184}"
按照每周的测验的成绩,negative,按照 每 周 的 测验 的 成绩,"{'label': 'neutral', 'score': 0.7037909626960754}"
按123456789按名次排,negative,按 123456789 按 名次 排,"{'label': 'neutral', 'score': 0.8554485440254211}"
把这名字挂在墙上,negative,把 这 名字 挂 在 墙上,"{'label': 'negative', 'score': 0.5377952456474304}"
每个礼拜都变,negative,每个 礼拜 都 变,"{'label': 'negative', 'score': 0.8120553493499756}"
因为每周测验 特别可气的是学生上课的座位也按那排名来,negative,因为 每 周 测验 特别 可气 的 是 学生 上课 的 座位 也 按 那 排名 来,"{'label': 'negative', 'score': 0.6828071475028992}"
你第一名坐第一排第一个,negative,你 第一 名 坐 第一 排 第一 个,"{'label': 'negative', 'score': 0.6163077354431152}"
第2名、第3名、第4名、第5名、第6名、第7名、第8名,negative,第2 名 第3 名 第4 名 第5 名 第6 名 第7 名 第8 名,"{'label': 'positive', 'score': 0.5082995891571045}"
我们孩子这礼拜要没考好,negative,我们 孩子 这 礼拜 要 没 考好,"{'label': 'negative', 'score': 0.8897548913955688}"
我们考一最后一名,negative,我们 考 一 最后 一 名,"{'label': 'negative', 'score': 0.9578190445899963}"
可就得坐最后一排角儿那去了,negative,可 就 得 坐 最后 一 排 角儿 那 去 了,"{'label': 'neutral', 'score': 0.7399429082870483}"
我们孩子视力要不好呢,negative,我们 孩子 视力 要不 好 呢,"{'label': 'neutral', 'score': 0.7094148397445679}"
我们孩子视力要不好呢,negative,我们 孩子 视力 要不 好 呢,"{'label': 'neutral', 'score': 0.7094148397445679}"
我们要看不见,negative,我们 要 看 不见,"{'label': 'negative', 'score': 0.6695133447647095}"
怎么办,negative,怎么办,"{'label': 'negative', 'score': 0.611790120601654}"
我们看不见老师黑板上写的什么题,negative,我们 看 不见 老师 黑板 上 写 的 什么 题,"{'label': 'negative', 'score': 0.8250038027763367}"
我们怎么写作业,negative,我们 怎么 写 作业,"{'label': 'negative', 'score': 0.8574721217155457}"
我们怎么听讲,negative,我们 怎么 听讲,"{'label': 'negative', 'score': 0.8545801043510437}"
有这么干的吗,negative,有 这么 干 的 吗,"{'label': 'negative', 'score': 0.7091164588928223}"
我们下礼拜还考不考,negative,我们 下 礼拜 还 考 不 考,"{'label': 'negative', 'score': 0.8678022027015686}"
我们还永远就坐那角上了,negative,我们 还 永远 就 坐 那 角上 了,"{'label': 'positive', 'score': 0.5363305807113647}"
这叫什么方法,negative,这 叫 什么 方法,"{'label': 'negative', 'score': 0.9282143115997314}"
气死我了,negative,气死 我 了,"{'label': 'negative', 'score': 0.9512630105018616}"
更可气的是今天开家长会,negative,更 可气 的 是 今天 开 家长会,"{'label': 'negative', 'score': 0.6867456436157227}"
家长的座位也按照你孩子的座位的名次坐,negative,家长 的 座位 也 按照 你 孩子 的 座位 的 名次 坐,"{'label': 'neutral', 'score': 0.7190151810646057}"
是吗,negative,是 吗,"{'label': 'negative', 'score': 0.5069338083267212}"
你猜我坐哪儿,negative,你 猜 我 坐 哪儿,"{'label': 'positive', 'score': 0.46829867362976074}"
不用问,positive,不用 问,"{'label': 'neutral', 'score': 0.44154810905456543}"
肯定特伤自尊,positive,肯定 特伤 自尊,"{'label': 'negative', 'score': 0.8139569163322449}"
坐在最后一排,positive,坐 在 最后 一 排,"{'label': 'neutral', 'score': 0.5425609946250916}"
最后一排最边上一个座,negative,最后 一 排 最 边上 一个 座,"{'label': 'neutral', 'score': 0.6766554713249207}"
蹭我一身白,negative,蹭 我 一身 白,"{'label': 'positive', 'score': 0.7605002522468567}"
气死我了,negative,气死 我 了,"{'label': 'negative', 'score': 0.9512630105018616}"
有这么干的吗,negative,有 这么 干 的 吗,"{'label': 'negative', 'score': 0.7091164588928223}"
老师还问呢,negative,老师 还 问 呢,"{'label': 'negative', 'score': 0.547668993473053}"
请问刘星同学的家长来了没有,negative,请问 刘星 同学 的 家长 来 了 没有,"{'label': 'neutral', 'score': 0.7113196849822998}"
请问刘星同学的家长来了没有,negative,请问 刘星 同学 的 家长 来 了 没有,"{'label': 'neutral', 'score': 0.7113196849822998}"
这话说完可就盯着我呢,negative,这话 说完 可 就 盯 着 我 呢,"{'label': 'neutral', 'score': 0.43300148844718933}"
你知道我在哪呢,negative,你 知道 我 在 哪 呢,"{'label': 'negative', 'score': 0.42581799626350403}"
你还问什么,negative,你 还 问 什么,"{'label': 'negative', 'score': 0.8756808042526245}"
还说能站起来一下吗,negative,还 说 能 站 起来 一下 吗,"{'label': 'negative', 'score': 0.9323466420173645}"
我站得起来吗,negative,我 站 得 起来 吗,"{'label': 'negative', 'score': 0.9578783512115479}"
前面的家长哗就回头那意思说,negative,前面 的 家长 哗 就 回头 那 意思 说,"{'label': 'negative', 'score': 0.8659115433692932}"
谁家家长坐这么靠后 这孩子 气死我了,negative,谁家 家长 坐 这么 靠 后 这 孩子 气死 我 了,"{'label': 'negative', 'score': 0.8796209096908569}"
气死我了,negative,气死 我 了,"{'label': 'negative', 'score': 0.9512630105018616}"
真生气 没事了,positive,真 生气 没事 了,"{'label': 'negative', 'score': 0.6739532351493835}"
在学校排座位,neutral,在 学校 排座 位,"{'label': 'negative', 'score': 0.7255983352661133}"
那是没办法,neutral,那 是 没 办法,"{'label': 'negative', 'score': 0.5662198066711426}"
老师学校要求的,neutral,老师 学校 要求 的,"{'label': 'negative', 'score': 0.6816012263298035}"
回到家了坐椅子还得分个前后高低,negative,回到 家 了 坐 椅子 还 得分 个 前后 高低,"{'label': 'neutral', 'score': 0.6914627552032471}"
根据排名发奖金,negative,根据 排名 发 奖金,"{'label': 'positive', 'score': 0.5473323464393616}"
庸俗多么庸俗的一件事情,negative,庸俗 多么 庸俗 的 一 件 事情,"{'label': 'negative', 'score': 0.771145224571228}"
啊小雨,negative,啊 小雨,"{'label': 'neutral', 'score': 0.5376177430152893}"
就像咱们两个这种境界的人士,negative,就 像 咱们 两 个 这种 境界 的 人士,"{'label': 'neutral', 'score': 0.541640043258667}"
根本就看不上啊,negative,根本 就 看 不 上 啊,"{'label': 'negative', 'score': 0.5389949679374695}"
你说呢小雨,negative,你 说 呢 小雨,"{'label': 'neutral', 'score': 0.6425090432167053}"
就是 什么意思,neutral,就是 什么 意思,"{'label': 'negative', 'score': 0.8430989980697632}"
你想啊咱退一万步说,negative,你 想 啊 咱 退 一万 步 说,"{'label': 'negative', 'score': 0.7238594889640808}"
我怎么着排名也是老二,negative,我 怎么着 排名 也 是 老二,"{'label': 'positive', 'score': 0.6962627172470093}"
为什么,negative,为什么,"{'label': 'negative', 'score': 0.5365131497383118}"
我是你哥,neutral,我 是 你 哥,"{'label': 'neutral', 'score': 0.4368840456008911}"
你说我这个当哥哥的,negative,你 说 我 这个 当 哥哥 的,"{'label': 'negative', 'score': 0.801202654838562}"
怎么忍心看着你排名第三在最后头,negative,怎么 忍心 看 着 你 排名 第三 在 最后 头,"{'label': 'negative', 'score': 0.6124846935272217}"
妈是以成绩来排名,neutral,妈 是 以 成绩 来 排名,"{'label': 'negative', 'score': 0.7595832347869873}"
不是以岁数,neutral,不是 以 岁数,"{'label': 'negative', 'score': 0.8952285051345825}"
我怎么着也能当个第二,neutral,我 怎么着 也 能 当 个 第二,"{'label': 'positive', 'score': 0.48778975009918213}"
5块钱,positive,5 块钱,"{'label': 'negative', 'score': 0.7178460359573364}"
虽然不多也能买个冰淇淋,positive,虽然 不 多 也 能 买 个 冰淇淋,"{'label': 'positive', 'score': 0.6827613115310669}"
你的意思就是和你哥我作对了,negative,你 的 意思 就是 和 你 哥 我 作对 了,"{'label': 'negative', 'score': 0.8012783527374268}"
我不和你作对,positive,我 不和 你 作对,"{'label': 'negative', 'score': 0.8410302996635437}"
我还能和冰淇淋作对,positive,我 还 能 和 冰淇 淋作 对,"{'label': 'positive', 'score': 0.8653244376182556}"
你的意思就是我不如你,negative,你 的 意思 就是 我 不如 你,"{'label': 'negative', 'score': 0.886990487575531}"
肯定,positive,肯定,"{'label': 'negative', 'score': 0.39606449007987976}"
成,neutral,成,"{'label': 'negative', 'score': 0.5489033460617065}"
咱等着瞧,neutral,咱 等 着 瞧,"{'label': 'negative', 'score': 0.8212572932243347}"
他跟过来了吗,negative,他 跟 过来 了 吗,"{'label': 'negative', 'score': 0.9366130232810974}"
没有,negative,没有,"{'label': 'negative', 'score': 0.44834813475608826}"
你发现什么情况了,negative,你 发现 什么 情况 了,"{'label': 'negative', 'score': 0.5772663354873657}"
涂改液,negative,涂改液,"{'label': 'negative', 'score': 0.6874547600746155}"
那你发现什么了,negative,那 你 发现 什么 了,"{'label': 'positive', 'score': 0.3507827818393707}"
我说呢学校的排名榜上有涂改的痕迹,neutral,我 说 呢 学校 的 排名榜 上 有 涂改 的 痕迹,"{'label': 'neutral', 'score': 0.6545037031173706}"
咱妈又是晚上去看的,neutral,咱妈 又 是 晚上 去 看 的,"{'label': 'neutral', 'score': 0.4686671197414398}"
把36改成6很有可能,negative,把 36 改成 6 很 有 可能,"{'label': 'neutral', 'score': 0.8118749856948853}"
你的意思是说 我必须得去告诉妈,negative,你 的 意思 是 说 我 必须 得 去 告诉 妈,"{'label': 'negative', 'score': 0.8763497471809387}"
别别别别别 咱们俩先按兵不动,positive,别 别 别 别 别 咱们 俩 先 按兵不动,"{'label': 'neutral', 'score': 0.5264394879341125}"
他骗得了一时,positive,他 骗得 了 一时,"{'label': 'neutral', 'score': 0.4409077763557434}"
骗不了一世,positive,骗 不 了 一世,"{'label': 'negative', 'score': 0.7063198685646057}"
等咱妈给他开家长会的时候,positive,等 咱妈 给 他 开 家长会 的 时候,"{'label': 'negative', 'score': 0.46333158016204834}"
看他怎么收场,positive,看 他 怎么 收场,"{'label': 'negative', 'score': 0.8673734664916992}"
刘星不是说不让咱妈去开家长会吗,negative,刘星 不是 说 不 让 咱妈 去 开 家长会 吗,"{'label': 'negative', 'score': 0.8504033088684082}"
你想想儿子这么有出息,neutral,你 想想 儿子 这么 有 出息,"{'label': 'negative', 'score': 0.5636979341506958}"
妈能不去吗,neutral,妈 能 不 去 吗,"{'label': 'negative', 'score': 0.8786535263061523}"
妈回来了,positive,妈 回来 了,"{'label': 'neutral', 'score': 0.46067413687705994}"
刘星你要气死我,negative,刘星 你 要 气死 我,"{'label': 'negative', 'score': 0.9400084614753723}"
你气您 气您干嘛,negative,你 气 您 气 您 干嘛,"{'label': 'negative', 'score': 0.8639729619026184}"
我开家长会去了给你,negative,我 开 家长会 去 了 给 你,"{'label': 'negative', 'score': 0.5104915499687195}"
您不是不去吗,negative,您 不是 不 去 吗,"{'label': 'negative', 'score': 0.4976150393486023}"
我能不去吗,negative,我 能 不 去 吗,"{'label': 'negative', 'score': 0.8336458206176758}"
你有那么大进步我能不去吗,negative,你 有 那么 大 进步 我 能 不 去 吗,"{'label': 'negative', 'score': 0.8958774209022522}"
一进你们教室我就坐人第6名那座位上了,negative,一 进 你们 教室 我 就 坐人 第6 名 那 座位 上 了,"{'label': 'positive', 'score': 0.8314736485481262}"
还没到两分钟呢,negative,还 没 到 两 分钟 呢,"{'label': 'neutral', 'score': 0.612246572971344}"
屁股还没捂热就过来一大胖老头说大姐您坐错了吧,negative,屁股 还 没 捂热 就 过来 一大 胖 老头 说 大姐 您 坐错 了 吧,"{'label': 'negative', 'score': 0.6229033470153809}"
我们家孩子第六,negative,我们 家 孩子 第六,"{'label': 'negative', 'score': 0.7364195585250854}"
您家孩子第几,negative,您 家 孩子 第几,"{'label': 'negative', 'score': 0.5652288794517517}"
我说第六,negative,我 说 第六,"{'label': 'negative', 'score': 0.6829014420509338}"
呼啦围过来一大群家长,negative,呼啦 围 过来 一大 群 家长,"{'label': 'positive', 'score': 0.5035709142684937}"
老师也跟着过来说您是谁家长,negative,老师 也 跟着 过来 说 您 是 谁 家长,"{'label': 'negative', 'score': 0.6847169399261475}"
我说我是刘星的妈妈,negative,我 说 我 是 刘星 的 妈妈,"{'label': 'negative', 'score': 0.5906580090522766}"
刘星是第36名,negative,刘星 是 第36 名,"{'label': 'negative', 'score': 0.47203245759010315}"
您得奔后面去在奔后面去 在紧后头呢,negative,您 得 奔 后面 去 在 奔 后面 去 在 紧后头 呢,"{'label': 'neutral', 'score': 0.5848643183708191}"
妈妈妈绝对不会,negative,妈 妈妈 绝对 不 会,"{'label': 'negative', 'score': 0.8440446853637695}"
肯定是他们弄错了,negative,肯定 是 他们 弄错 了,"{'label': 'negative', 'score': 0.505786120891571}"
我分别看那排行榜上写的是第6名,negative,我 分别 看 那 排行榜 上 写 的 是 第6 名,"{'label': 'negative', 'score': 0.4062834680080414}"
不是刘星你怎么回事,negative,不是 刘星 你 怎么 回 事,"{'label': 'negative', 'score': 0.9458854794502258}"
你让我丢死人了吧你,negative,你 让 我 丢死 人 了 吧 你,"{'label': 'negative', 'score': 0.9497876167297363}"
我不是也想让您高兴吗,negative,我 不是 也 想 让 您 高兴 吗,"{'label': 'neutral', 'score': 0.4366290867328644}"
我高兴得起来吗,negative,我 高兴 得 起来 吗,"{'label': 'negative', 'score': 0.7755089402198792}"
能不被戳穿吗你,negative,能 不 被 戳穿 吗 你,"{'label': 'negative', 'score': 0.9313350319862366}"
行,negative,行,"{'label': 'negative', 'score': 0.4405975937843323}"
这回我是36名,negative,这 回 我 是 36 名,"{'label': 'negative', 'score': 0.5590919852256775}"
但是您别忘了上回我是42名,negative,但是 您 别 忘 了 上回 我 是 42 名,"{'label': 'negative', 'score': 0.4900660812854767}"
怎么着我也提高了6名呢,negative,怎么着 我 也 提高 了 6 名 呢,"{'label': 'positive', 'score': 0.8840599656105042}"
您得看看人家的进步,negative,您 得 看看 人家 的 进步,"{'label': 'neutral', 'score': 0.5116375684738159}"
看见你什么进步,negative,看见 你 什么 进步,"{'label': 'positive', 'score': 0.4330093562602997}"
我现在看见你我就想揍你,negative,我 现在 看见 你 我 就 想 揍 你,"{'label': 'negative', 'score': 0.7801621556282043}"
我告诉你,negative,我 告诉 你,"{'label': 'negative', 'score': 0.7352043390274048}"
现在我宣布取消你的排名第一,negative,现在 我 宣布 取消 你 的 排名 第一,"{'label': 'neutral', 'score': 0.5056954026222229}"
原先的第二第三依次向前递补,negative,原先 的 第二 第三 依次 向前 递补,"{'label': 'neutral', 'score': 0.7015267014503479}"
取消,negative,取消,"{'label': 'negative', 'score': 0.8352323174476624}"
就取消呗 反正我也风光过,negative,就 取消 呗 反正 我 也 风光 过,"{'label': 'negative', 'score': 0.770215630531311}"
还有洗碗,neutral,还有 洗 碗,"{'label': 'neutral', 'score': 0.5189725756645203}"
洗就洗,negative,洗 就 洗,"{'label': 'negative', 'score': 0.49778884649276733}"
我又不是不会,negative,我 又 不是 不 会,"{'label': 'negative', 'score': 0.5254819989204407}"
还有退钱,neutral,还有 退 钱,"{'label': 'negative', 'score': 0.5923610925674438}"
退就退,negative,退 就 退,"{'label': 'negative', 'score': 0.793157160282135}"
反正我都花了先欠着,negative,反正 我 都 花 了 先 欠 着,"{'label': 'negative', 'score': 0.4845500588417053}"
还有你必须给我好好反省,negative,还有 你 必须 给 我 好好 反省,"{'label': 'negative', 'score': 0.9447981715202332}"
必须给我加倍努力,negative,必须 给 我 加倍 努力,"{'label': 'negative', 'score': 0.4246116876602173}"
拉近跟他们俩的距离,negative,拉近 跟 他们 俩 的 距离,"{'label': 'neutral', 'score': 0.563252329826355}"
拉就拉呗 又不是不能拉切,negative,拉就拉 呗 又 不是 不 能 拉切,"{'label': 'negative', 'score': 0.6507273316383362}"
我现在就拉去,negative,我 现在 就 拉 去,"{'label': 'negative', 'score': 0.9530771970748901}"
拉什么去,negative,拉什么 去,"{'label': 'negative', 'score': 0.895443320274353}"
你这孩子 刘星 我揍你啊 你去不去,negative,你 这 孩子 刘星 我 揍 你 啊 你 去 不 去,"{'label': 'negative', 'score': 0.9418904185295105}"
小雨 老弟,positive,小雨 老弟,"{'label': 'negative', 'score': 0.45496875047683716}"
干嘛呀,neutral,干嘛 呀,"{'label': 'neutral', 'score': 0.46631741523742676}"
你哥我想帮你想帮你成为咱们家的第一名老大,neutral,你 哥 我 想 帮 你 想 帮 你 成为 咱们 家 的 第一 名 老大,"{'label': 'negative', 'score': 0.525562047958374}"
一哥,neutral,一哥,"{'label': 'negative', 'score': 0.5200105309486389}"
怎么了我呀,negative,怎么 了 我 呀,"{'label': 'negative', 'score': 0.515122652053833}"
蜡烛,neutral,蜡烛,"{'label': 'positive', 'score': 0.45928218960762024}"
蜡烛知道吗,neutral,蜡烛 知道 吗,"{'label': 'neutral', 'score': 0.5873371958732605}"
知道吗,neutral,知道 吗,"{'label': 'negative', 'score': 0.456197053194046}"
知道,negative,知道,"{'label': 'negative', 'score': 0.4367031455039978}"
老师常给我们讲蜡烛的故事,neutral,老师 常 给 我们 讲 蜡烛 的 故事,"{'label': 'positive', 'score': 0.6210982203483582}"
蜡烛燃尽自己,neutral,蜡烛 燃尽 自己,"{'label': 'neutral', 'score': 0.669363260269165}"
照亮他人,neutral,照亮 他人,"{'label': 'neutral', 'score': 0.49701452255249023}"
甘做人梯 我现在无私奉献,neutral,甘做 人梯 我 现在 无私 奉献,"{'label': 'negative', 'score': 0.5160565972328186}"
你到底要说什么,negative,你 到底 要 说 什么,"{'label': 'negative', 'score': 0.927971601486206}"
我跟你分析一下,neutral,我 跟 你 分析 一下,"{'label': 'neutral', 'score': 0.5986286401748657}"
咱们现在的家中排名 上有小雪,neutral,咱们 现在 的 家中 排名 上 有 小雪,"{'label': 'negative', 'score': 0.9168204069137573}"
中有小雨,neutral,中 有 小雨,"{'label': 'neutral', 'score': 0.844725489616394}"
最后是我刘星成三国鼎立之势,neutral,最后 是 我 刘星成 三国 鼎立 之 势,"{'label': 'positive', 'score': 0.6420382857322693}"
你到底要说什么赶紧说,negative,你 到底 要 说 什么 赶紧 说,"{'label': 'negative', 'score': 0.9515450596809387}"
我觉得凭你的智商,neutral,我 觉得 凭 你 的 智商,"{'label': 'neutral', 'score': 0.6712345480918884}"
凭你的资质,neutral,凭 你 的 资质,"{'label': 'neutral', 'score': 0.8008872866630554}"
完全有可能,neutral,完全 有 可能,"{'label': 'positive', 'score': 0.5324226021766663}"
甚至是可以成为咱们家中的老大,neutral,甚至 是 可以 成为 咱们 家中 的 老大,"{'label': 'positive', 'score': 0.5913306474685669}"
第一 一哥,neutral,第一 一哥,"{'label': 'negative', 'score': 0.5314787030220032}"
可是小雪的成绩比我好多了,neutral,可是 小雪 的 成绩 比 我 好多 了,"{'label': 'negative', 'score': 0.8610407710075378}"
换个思路,neutral,换 个 思路,"{'label': 'neutral', 'score': 0.4850419759750366}"
只要你把这个思路转变过来,neutral,只要 你 把 这个 思路 转变 过来,"{'label': 'neutral', 'score': 0.955551266670227}"
超过她易如反掌,neutral,超过 她 易如反掌,"{'label': 'negative', 'score': 0.4953216016292572}"
怎么转变思路,negative,怎么 转变 思路,"{'label': 'negative', 'score': 0.7882764935493469}"
听我跟您讲啊,neutral,听 我 跟 您 讲 啊,"{'label': 'neutral', 'score': 0.5554508566856384}"
